schema_name,document_type,schema_strata_name,base_path
detailed_guide,detailed_guide,detailed_guide,/guidance/contact-mhra
detailed_guide,detailed_guide,detailed_guide,/guidance/manage-your-data-for-access-and-reuse
detailed_guide,detailed_guide,detailed_guide,/guidance/becoming-an-apprenticeship-training-provider
detailed_guide,detailed_guide,detailed_guide,/guidance/thailand-migrant-health-guide
detailed_guide,detailed_guide,detailed_guide,/guidance/animal-disease-outbreak-prevent-pollution-from-cleaning-and-disinfection
detailed_guide,detailed_guide,detailed_guide,/guidance/tax-not-deducted-from-remuneration-paid-to-directors-480-chapter-19
detailed_guide,detailed_guide,detailed_guide,/guidance/grenfell-tower-fire-june-2017-support-for-people-affected
detailed_guide,detailed_guide,detailed_guide,/guidance/imports-of-certain-steel-products-tariff-quota-notice-4
detailed_guide,detailed_guide,detailed_guide,/guidance/tree-health-legislation
detailed_guide,detailed_guide,detailed_guide,/guidance/expenses-for-employees-carrying-out-international-work-480-chapter-9
detailed_guide,detailed_guide,detailed_guide,/guidance/digital-connectivity-portal
detailed_guide,detailed_guide,detailed_guide,/guidance/national-sample-survey-for-electricity-meters
detailed_guide,detailed_guide,detailed_guide,/guidance/pension-administrators-check-your-members-protection-status
detailed_guide,detailed_guide,detailed_guide,/guidance/bps-2016-land-use-codes
detailed_guide,detailed_guide,detailed_guide,/guidance/how-to-revalidate-a-uk-certificate-of-competency
detailed_guide,detailed_guide,detailed_guide,/guidance/export-chemicals-licences-and-special-rules
detailed_guide,detailed_guide,detailed_guide,/guidance/gas-pipelines-applying-for-consent
document_collection,document_collection,document_collection,/government/collections/gifts-received
document_collection,document_collection,document_collection,/government/collections/english-housing-survey-live-tables
document_collection,document_collection,document_collection,/government/collections/patents-journal-special-notices-2016
document_collection,document_collection,document_collection,/government/collections/hs2-independent-construction-commissioner
document_collection,document_collection,document_collection,/government/collections/self-assessment-helpsheets-residence-and-remittance-basis
document_collection,document_collection,document_collection,/government/collections/key-documents
document_collection,document_collection,document_collection,/government/collections/excise-information-sheets
document_collection,document_collection,document_collection,/government/collections/ofsted-examples-of-good-practice-in-business-administration-and-law-teaching
document_collection,document_collection,document_collection,/government/collections/local-housing-allowance-information-for-local-authorities
document_collection,document_collection,document_collection,/government/collections/maritime-and-coastguard-agency-mca-safety-bulletins
document_collection,document_collection,document_collection,/government/collections/statistics-key-stage-3
document_collection,document_collection,document_collection,/government/collections/tax-structure-and-parameters-statistics
document_collection,document_collection,document_collection,/government/collections/statistics-children-in-need
document_collection,document_collection,document_collection,/government/collections/salaried-members-revised-draft-finance-bill-2014-legislation
document_collection,document_collection,document_collection,/government/collections/principal-learning-and-project-qualifications-requirements-and-guidance
document_collection,document_collection,document_collection,/government/collections/legal-aid-agency-government-procurement-card-spend-over-500
document_collection,document_collection,document_collection,/government/collections/code-for-sustainable-homes-statistics
document_collection,document_collection,document_collection,/government/collections/exceptions-data
document_collection,document_collection,document_collection,/government/collections/2018-financial-conduct-authority-rpc-opinions
document_collection,document_collection,document_collection,/government/collections/use-of-lean-in-highways-england
document_collection,document_collection,document_collection,/government/collections/home-office-circulars-2014
document_collection,document_collection,document_collection,/government/collections/paying-hmrc-hmrc-manuals
document_collection,document_collection,document_collection,/government/collections/workplace-employment-relations-study-wers
document_collection,document_collection,document_collection,/government/collections/official-searches-and-official-copies-practice-guides
document_collection,document_collection,document_collection,/government/collections/dfid-senior-executives-business-expenses-gifts-travel-and-meetings
document_collection,document_collection,document_collection,/government/collections/meningococcal-c-menc-vaccination-programme
document_collection,document_collection,document_collection,/government/collections/document-checking-service-pilot
document_collection,document_collection,document_collection,/government/collections/ukgi-board-directors-hospitality-gifts-and-expenses
document_collection,document_collection,document_collection,/government/collections/monitoring-stack-emissions-environmental-permits
document_collection,document_collection,document_collection,/government/collections/youth-offending-team-contact-details
document_collection,document_collection,document_collection,/government/collections/road-safety-research-and-statistical-reports
document_collection,document_collection,document_collection,/government/collections/automotive-sector-and-the-eu
document_collection,document_collection,document_collection,/government/collections/abortion-statistics-for-england-and-wales
document_collection,document_collection,document_collection,/government/collections/criminal-justice-statistics
document_collection,document_collection,document_collection,/government/collections/labour-market-enforcement
document_collection,document_collection,document_collection,/government/collections/scottish-independence-referendum-factsheets
document_collection,document_collection,document_collection,/government/collections/annual-report-and-accounts
document_collection,document_collection,document_collection,/government/collections/uk-sanctions-on-bosnia-and-herzegovina
document_collection,document_collection,document_collection,/government/collections/2021-review-of-the-office-of-tax-simplification
document_collection,document_collection,document_collection,/government/collections/brucella-reference-unit-bru
document_collection,document_collection,document_collection,/government/collections/england-coast-path-shotley-gate-to-felixstowe-ferry
document_collection,document_collection,document_collection,/government/collections/cryptoassets
document_collection,document_collection,document_collection,/government/collections/2018-dcms-opinions
document_collection,document_collection,document_collection,/government/collections/employment-tribunal-forms
document_collection,document_collection,document_collection,/government/collections/public-expenditure-statistical-analyses-pesa
